representation,backbone,run_name,episodes_completed,actor_params,lcs_first200_per_ep,lcs_full_per_ep,late_slope_per100ep,late_tail_relrange,best_val_gap,final_val_gap,test_gap,test_std,generalization_gap,actor_loss_first10,actor_loss_last10,entropy_norm_first10,entropy_norm_last10,converged
oo,gin,convergence_check_oo_gin,400,900616,-0.0005946251205322204,-0.00020231027346281173,0.013416751231275949,0.08566621896720002,0.15885848902591818,0.19040730129208863,0.13863335416212824,0.07016072403407254,-0.020225134863789934,2.5897049420367693,0.27652219783340115,0.6477166830503905,0.9389867548378806,True
oo,gat,convergence_check_oo_gat,400,616356,-7.283407959410198e-05,-1.946365937543528e-05,0.0026284361782147525,0.01832045302844252,0.14170971170281485,0.146249305595605,0.14355573240323793,0.07197391814776166,0.0018460207004230844,2.988405002653599,1.3420467890318832,0.8062688702491941,0.9452584197214016,True
oo,transformer,convergence_check_oo_transformer,400,1218468,0.00013815312579684903,1.0930847466985782e-05,0.0038162733978728772,0.043894555550003336,0.10058668723996042,0.11861417633137135,0.10731354931101364,0.055882038960018046,0.006726862071053219,2.397191406355705,0.8768433790828567,0.24721984368137256,0.9452587334038627,True
om,gin,convergence_check_om_gin,400,1801222,-0.00036573471886969076,-0.00015391570384750954,-0.006396577189270073,0.05676662124820437,0.13586687892946775,0.14672029249739374,0.14295370703729915,0.05319152198475133,0.0070868281078314,4.121293991804125,0.05707006255790724,0.6564797426897373,0.925655019613051,True
om,gat,convergence_check_om_gat,400,1232702,-0.00035490003279404353,-0.00010808676654888815,-0.000733414729173586,0.015590509414013938,0.13495440393707392,0.1438555224208378,0.14320064202675953,0.0774590521827112,0.008246238089685609,6.5759581327438354,0.7816880338721852,0.7385802670888685,0.8949051803435779,True
om,transformer,convergence_check_om_transformer,400,2436926,-0.0005142150196459945,-0.0001821341671314501,-0.012821924445272742,0.0859848158857524,0.1402220629642262,0.13374288975676857,0.15213776413405947,0.06260339342758517,0.01191570116983326,6.104817342758179,0.010460228309256081,0.5124262318050594,0.9159972005173496,True
ojm,gin,ablation_ojm_gin_layers3,400,5238987,-0.000276728308900658,-0.00014778997278901674,-0.01864804194406394,0.1504001801252854,0.10771968709304669,0.10920861744184122,0.12016978455542335,0.050189939861115175,0.012450097462376658,3.9806484133412594,0.13315439572688775,0.8791395684834447,0.9441599446103401,True
ojm,gat,ablation_ojm_gat_layers3,400,4245222,-0.0001800558320121422,-0.00014052649783269694,0.0013926737556929488,0.02809043795931442,0.1305204201389338,0.13439216555038896,0.1295540874495841,0.07154454151754425,-0.0009663326893497026,7.499765932559967,0.4347720104502514,0.8635310702600065,0.9564625619816652,True
ojm,transformer,ablation_ojm_transformer_layers3,400,8416998,-1.9811826101962137e-05,2.3662710295666568e-05,-0.002109062307881042,0.025149085337474928,0.09355536786103158,0.09990061854008717,0.09444341544868066,0.04405989970777139,0.0008880475876490851,5.801420145668089,0.1812190997006958,0.6744917584793487,0.9407755590889446,True
