backbone,num_layers,run_name,episodes_completed,actor_params,lcs_first200_per_ep,lcs_full_per_ep,late_slope_per100ep,late_tail_relrange,best_val_gap,final_val_gap,test_gap,test_std,generalization_gap,actor_loss_first10,actor_loss_last10,entropy_norm_first10,entropy_norm_last10,converged
gin,2,convergence_check_ojm_gin,400,3150788,-0.000117358905355367,-6.093078869508178e-05,-0.002726297425587275,0.025080654294335116,0.13238128265654733,0.12970318625561514,0.12329927685092697,0.045883720428501154,-0.009082005805620366,1.890969255879284,0.21177468916117986,0.7472512176577057,0.9342316067990515,True
gin,3,ablation_ojm_gin_layers3,400,5238987,-0.000276728308900658,-0.00014778997278901674,-0.01864804194406394,0.1504001801252854,0.10771968709304669,0.10920861744184122,0.12016978455542335,0.050189939861115175,0.012450097462376658,3.9806484133412594,0.13315439572688775,0.8791395684834447,0.9441599446103401,True
gat,2,convergence_check_ojm_gat,400,2156646,-0.00021348866820073746,-4.646363072357712e-05,0.0029476752555875965,0.022772668425975636,0.1658420082640596,0.18090634594249258,0.18814468994900468,0.1020380963903843,0.02230268168494509,9.70036723613739,0.46053914013820074,0.8986604523438186,0.9272203433632825,True
gat,3,ablation_ojm_gat_layers3,400,4245222,-0.0001800558320121422,-0.00014052649783269694,0.0013926737556929488,0.02809043795931442,0.1305204201389338,0.13439216555038896,0.1295540874495841,0.07154454151754425,-0.0009663326893497026,7.499765932559967,0.4347720104502514,0.8635310702600065,0.9564625619816652,True
transformer,2,convergence_check_ojm_transformer,400,4264038,-0.0001327931297082616,-4.704577619895594e-05,-0.0002485602876449969,0.024293953028976814,0.11771832389040449,0.11346960992379507,0.1252151176541429,0.05059192437782078,0.0074967937637384074,7.9183269381523145,0.13228830954700826,0.5767017915143299,0.9263346282389715,True
transformer,3,ablation_ojm_transformer_layers3_selk2,400,8416998,0.00038991159736798017,-3.0044229814334713e-05,-0.0039838279658189054,0.04876114092111672,0.1232067204957095,0.1289437799139341,0.12842997446748092,0.0509166326876556,0.0052232539717714105,3.047403618527885,0.23633496318641392,0.616072545894515,0.9470974515942217,True
