representation,gnn_type,num_layers,sel_k,mask_option,seed,logp_norm,run_name,episodes_completed,actor_params,lcs_first200_per_ep,lcs_full_per_ep,late_slope_per100ep,late_tail_relrange,best_val_gap,final_val_gap,test_gap,test_std,generalization_gap,actor_loss_first10,actor_loss_last10,entropy_norm_first10,entropy_norm_last10,converged
ojm,gat,3,,,,,ablation_ojm_gat_layers3,400,4245222,-0.0001800558320121422,-0.00014052649783269694,0.0013926737556929488,0.02809043795931442,0.1305204201389338,0.13439216555038896,0.1295540874495841,0.07154454151754425,-0.0009663326893497026,7.499765932559967,0.4347720104502514,0.8635310702600065,0.9564625619816652,True
ojm,gat,2,100,0,,mean,train_run_ojm,250,2156646,-0.002247031431341501,-0.001588525638844841,0.02759232098058637,0.07909151926358542,0.13682267286218264,0.1531729660180472,0.13891572551880194,0.0557086403335985,0.0020930526566192986,0.56265988945961,0.6421219140291214,0.6849829534648848,0.449550636230091,False
ojm,gin,3,,,,,ablation_ojm_gin_layers3,400,5238987,-0.000276728308900658,-0.00014778997278901674,-0.01864804194406394,0.1504001801252854,0.10771968709304669,0.10920861744184122,0.12016978455542335,0.050189939861115175,0.012450097462376658,3.9806484133412594,0.13315439572688775,0.8791395684834447,0.9441599446103401,True
ojm,transformer,3,1,,,,ablation_ojm_transformer_layers3,400,8416998,-1.9811826101962137e-05,2.3662710295666568e-05,-0.002109062307881042,0.025149085337474928,0.09355536786103158,0.09990061854008717,0.09444341544868066,0.04405989970777139,0.0008880475876490851,5.801420145668089,0.1812190997006958,0.6744917584793487,0.9407755590889446,True
om,gat,2,100,0,,mean,train_run_om,250,1232702,-0.0007808010942149718,-0.0006072067475242856,-0.04509316727090673,0.10151724222431331,0.17712510769635967,0.17307453505617407,0.18107548945310117,0.04949369911834221,0.003950381756741506,0.6366195917129517,0.6620997190475464,0.7576315934665548,0.4173976736330718,False
oo,gat,2,100,0,,mean,train_run_oo,250,616356,-0.00012393222582361335,-8.340864929844118e-05,-0.0054826429877527375,0.01873485232239217,0.10982512742178187,0.11190859733305214,0.10822133719849217,0.05268734989617704,-0.0016037902232897,0.7125167429447175,0.6827284336090088,0.7086829217524131,0.6631514458481147,True
