run_name,representation,gnn_type,val_gap,val_q80,test_gap,test_q80,num_layers,seed,logp_norm,exclude_greedy_from_loss,checkpoint,checkpoint_episode,reported_val_raw,reported_test,reproduces
heuristic_ect_ojm,ojm,ect_heuristic,0.394489385578561,0.5007062905290984,0.4225990183384993,0.5228199504657388,,,,,,,,,
ablation_ojm_gat_layers3,ojm,gat,0.12919260702274787,0.17456772251519445,0.1295540874495841,0.16098081023454167,3.0,,sum,False,candidate_models/500738111385484.pth,350.0,0.12919260702274787,0.1295540874495841,True
ablation_ojm_gin_layers3,ojm,gin,0.10920861744184122,0.15384230287859815,0.12016978455542335,0.16351465317309727,3.0,,sum,False,candidate_models/57247572655695.pth,400.0,0.10920861744184122,0.12016978455542335,True
ablation_ojm_transformer_layers3,ojm,transformer,0.0888491563462627,0.11710332983493933,0.09444341544868066,0.1242577030812325,3.0,,sum,False,candidate_models/109742766735700.pth,225.0,0.0888491563462627,0.09444341544868066,True
heuristic_ect_ojm,ojm,ect_heuristic,0.394489385578561,0.5007062905290984,0.4225990183384993,0.5228199504657388,,,,,,,,,
convergence_check_ojm_gat,ojm,gat,0.16815801329068775,0.26035418524652826,0.18814468994900468,0.26623688101850185,2.0,,sum,False,candidate_models/275956690326174.pth,125.0,0.16815801329068775,0.18814468994900468,True
convergence_check_ojm_gin,ojm,gin,0.12970318625561514,0.17396570495372893,0.12329927685092697,0.1658096613705666,2.0,,sum,False,candidate_models/12322002294160.pth,400.0,0.12970318625561514,0.12329927685092697,True
convergence_check_ojm_gin_fixed,ojm,gin,0.15978549696511654,0.20990510464194684,0.17931517895133436,0.27304142941291965,2.0,,sum,False,candidate_models/230634030095048.pth,225.0,0.1644873723199769,0.1778570323626195,False
convergence_check_ojm_transformer,ojm,transformer,0.11679765195290244,0.13670276981035143,0.1252151176541429,0.17208344087190014,2.0,,sum,False,candidate_models/282475626022764.pth,125.0,0.11679765195290244,0.1252151176541429,True
heuristic_ect_om,om,ect_heuristic,0.394489385578561,0.5007062905290984,0.4225990183384993,0.5228199504657388,,,,,,,,,
convergence_check_om_gat,om,gat,0.13254363010594902,0.18727271715355884,0.14320064202675953,0.19429599959438226,2.0,,sum,False,candidate_models/707720872170429.pth,225.0,0.13254363010594902,0.14320064202675953,True
convergence_check_om_gin,om,gin,0.12659120220072634,0.16611826851347813,0.14295370703729915,0.18701370621625368,2.0,,sum,False,candidate_models/155301211488790.pth,350.0,0.12659120220072634,0.14295370703729915,True
convergence_check_om_gin_fixed,om,gin,0.1691584478580434,0.24590299277605787,0.16298677544815246,0.20637275805844726,2.0,,sum,False,candidate_models/246661562322637.pth,175.0,0.1581652405566691,0.1705511225841482,False
convergence_check_om_transformer,om,transformer,0.13374288975676857,0.1693634913730608,0.15213776413405947,0.20901402278702882,2.0,,sum,False,candidate_models/704529522087037.pth,400.0,0.13374288975676857,0.15213776413405947,True
heuristic_ect_oo,oo,ect_heuristic,0.10941208877930705,0.14864986498649863,0.11355698716241247,0.16593563233085107,,,,,,,,,
convergence_check_oo_gat,oo,gat,0.14181223338691307,0.1787444701917,0.14355573240323793,0.21728102283858322,2.0,,sum,False,candidate_models/136607064348329.pth,300.0,0.14181223338691307,0.14355573240323793,True
convergence_check_oo_gat_fixed,oo,gat,0.12300607299994257,0.15912133723493802,0.12701432558713768,0.178279000761859,2.0,,sum,False,candidate_models/852009982036271.pth,250.0,0.12009611783292466,0.12627382856948835,False
convergence_check_oo_gin,oo,gin,0.1459479230955099,0.24743656551890003,0.13863335416212824,0.2035763996023175,2.0,,sum,False,candidate_models/196115285954942.pth,100.0,0.1459479230955099,0.13863335416212824,True
convergence_check_oo_gin_fixed,oo,gin,0.12840142402675014,0.20374517854921004,0.13285347228956335,0.21031917446604287,2.0,,sum,False,candidate_models/385769104490350.pth,250.0,0.1186248534192592,0.13657533320037168,False
convergence_check_oo_gin_lowlr,oo,gin,0.14040417544946618,0.24865228732504985,0.13995130887831947,0.23564460617752153,2.0,,sum,False,candidate_models/251728950977056.pth,150.0,0.12636509136647825,0.15282580941332277,False
convergence_check_oo_transformer,oo,transformer,0.10058668723996042,0.14646131279794639,0.10731354931101364,0.1379621545615792,2.0,,sum,False,candidate_models/911867907773049.pth,25.0,0.10058668723996042,0.10731354931101364,True
reseed_ojm_gat_s43,ojm,gat,0.09688414822455749,0.11200759000008753,0.10389758852217615,0.17831016590865412,2.0,,sum,False,candidate_models/937769980869800.pth,250.0,0.09688414822455749,0.10389758852217615,True
reseed_ojm_gat_s44,ojm,gat,0.10675740333673642,0.1298206746645488,0.10580333746010451,0.1396095371193834,2.0,,sum,False,candidate_models/911504662185205.pth,325.0,0.10675740333673642,0.10580333746010451,True
reseed_oo_gin_s43,oo,gin,0.1431623804556902,0.19424489621593927,0.13633160297981434,0.17830687830687827,2.0,,sum,False,candidate_models/800138727628579.pth,50.0,0.1431623804556902,0.13633160297981434,True
reseed_oo_gin_s44,oo,gin,0.13097477476446576,0.1949509223834526,0.12284087967531013,0.16614012055506158,2.0,,sum,False,candidate_models/625948962265988.pth,275.0,0.13097477476446576,0.12284087967531013,True
